time	V(out)	V(rst)	V(vin)
1.582928236122826e-005	3.347450e-002	3.414097e-001	-2.000000e+000
1.604903532368573e-005	3.299220e-002	3.415149e-001	-2.000000e+000
1.627369976842108e-005	3.131371e-002	3.415641e-001	-2.000000e+000
1.661741038997856e-005	2.674792e-002	3.415915e-001	-2.000000e+000
1.695579427223642e-005	2.022193e-002	3.415786e-001	-2.000000e+000
1.702394500453480e-005	1.869242e-002	3.415928e-001	-2.000000e+000
1.709209573683319e-005	1.710363e-002	3.415979e-001	-2.000000e+000
1.716024646913157e-005	1.545557e-002	3.415938e-001	-2.000000e+000
1.722839720142995e-005	1.374822e-002	3.415805e-001	-2.000000e+000
1.729654793372834e-005	1.198160e-002	3.415581e-001	-2.000000e+000
1.736469866602672e-005	1.015569e-002	3.415265e-001	-2.000000e+000
1.743284939832511e-005	8.270513e-003	3.414858e-001	-2.000000e+000
1.744558539754486e-005	7.912037e-003	3.414750e-001	-2.000000e+000
1.746200769028591e-005	7.447183e-003	3.414568e-001	-2.000000e+000
1.746735803197871e-005	7.295101e-003	3.414474e-001	-2.000000e+000
1.746997920879360e-005	7.220482e-003	3.414384e-001	-2.000000e+000
1.747142641768085e-005	7.179251e-003	3.414281e-001	-2.000000e+000
1.747275970045456e-005	7.141246e-003	3.414092e-001	-2.000000e+000
1.747408929954203e-005	7.103328e-003	3.413774e-001	-2.000000e+000
1.747510093994833e-005	7.074465e-003	3.413421e-001	-2.000000e+000
1.747620483605748e-005	7.042957e-003	3.412920e-001	-2.000000e+000
1.747794321098109e-005	6.993313e-003	3.411998e-001	-2.000000e+000
1.747960971419683e-005	6.945694e-003	3.411026e-001	-2.000000e+000
1.748161780931749e-005	6.888277e-003	3.409780e-001	-2.000000e+000
1.748342632460585e-005	6.836534e-003	3.408591e-001	-2.000000e+000
1.748668089246993e-005	6.743347e-003	3.406303e-001	-2.000000e+000
1.749007035235053e-005	6.646204e-003	3.403748e-001	-2.000000e+000
1.749574209192541e-005	6.483463e-003	3.399175e-001	-2.000000e+000
1.750119213017087e-005	6.326880e-003	3.394439e-001	-2.000000e+000
1.750956183531339e-005	6.086085e-003	3.386381e-001	-2.000000e+000
1.752200265815894e-005	5.727571e-003	3.372626e-001	-2.000000e+000
1.753731444811164e-005	5.285699e-003	3.351305e-001	-2.000000e+000
1.756226058583998e-005	4.565886e-003	3.305278e-001	-2.000000e+000
1.757918970924029e-005	4.078636e-003	3.260682e-001	-2.000000e+000
1.759597384335189e-005	3.598107e-003	3.196979e-001	-2.000000e+000
1.760694474156618e-005	3.286138e-003	3.135717e-001	-2.000000e+000
1.761851114434988e-005	2.959932e-003	3.043064e-001	-2.000000e+000
1.762518286351016e-005	2.773352e-003	2.966554e-001	-2.000000e+000
1.763114720014652e-005	2.607781e-003	2.870899e-001	-2.000000e+000
1.763515222830990e-005	2.497347e-003	2.785758e-001	-2.000000e+000
1.763782653887147e-005	2.423979e-003	2.713831e-001	-2.000000e+000
1.763992087333802e-005	2.366748e-003	2.647584e-001	-2.000000e+000
1.764159676157111e-005	2.321104e-003	2.585733e-001	-2.000000e+000
1.764336741331732e-005	2.273032e-003	2.489826e-001	-2.000000e+000
1.764510753607129e-005	2.225948e-003	2.332766e-001	-2.000000e+000
1.764607375979385e-005	2.199875e-003	2.196237e-001	-2.000000e+000
1.764718611137554e-005	2.169925e-003	1.994912e-001	-2.000000e+000
1.764833003319040e-005	2.139206e-003	1.776687e-001	-2.000000e+000
1.764919248685314e-005	2.116102e-003	1.621603e-001	-2.000000e+000
1.765015223650575e-005	2.090455e-003	1.467652e-001	-2.000000e+000
1.765115761282062e-005	2.063662e-003	1.321758e-001	-2.000000e+000
1.765204198731564e-005	2.040162e-003	1.199520e-001	-2.000000e+000
1.765293580445671e-005	2.016475e-003	1.074526e-001	-2.000000e+000
1.765391481835554e-005	1.990610e-003	9.307668e-002	-2.000000e+000
1.765524573719420e-005	1.955580e-003	7.260273e-002	-2.000000e+000
1.765675484982832e-005	1.916045e-003	4.900857e-002	-2.000000e+000
1.765821761475430e-005	1.877914e-003	2.664024e-002	-2.000000e+000
1.766027361838059e-005	1.824627e-003	-3.480132e-003	-2.000000e+000
1.766219444187746e-005	1.775167e-003	-3.030124e-002	-2.000000e+000
1.766463210884289e-005	1.712837e-003	-6.227357e-002	-2.000000e+000
1.766740596709019e-005	1.642493e-003	-9.507001e-002	-2.000000e+000
1.767094185803992e-005	1.553686e-003	-1.301596e-001	-2.000000e+000
1.767494395476502e-005	1.454267e-003	-1.615415e-001	-2.000000e+000
1.767709708449557e-005	1.401232e-003	-1.739845e-001	-2.000000e+000
1.767864776097637e-005	1.363219e-003	-1.802620e-001	-2.000000e+000
1.767974961478430e-005	1.336295e-003	-1.834878e-001	-2.000000e+000
1.768054465897781e-005	1.316912e-003	-1.852246e-001	-2.000000e+000
1.768118362906869e-005	1.301359e-003	-1.863374e-001	-2.000000e+000
1.768187571824225e-005	1.284537e-003	-1.874205e-001	-2.000000e+000
1.768263310700030e-005	1.266157e-003	-1.886621e-001	-2.000000e+000
1.768329740025930e-005	1.250061e-003	-1.899636e-001	-2.000000e+000
1.768412803558309e-005	1.229963e-003	-1.919959e-001	-2.000000e+000
1.768499639072569e-005	1.208986e-003	-1.946676e-001	-2.000000e+000
1.768635689685976e-005	1.176189e-003	-1.999473e-001	-2.000000e+000
1.768802395340401e-005	1.136107e-003	-2.082101e-001	-2.000000e+000
1.768965672087140e-005	1.096959e-003	-2.191649e-001	-2.000000e+000
1.769141167077213e-005	1.054997e-003	-2.364940e-001	-2.000000e+000
1.769344063537284e-005	1.006637e-003	-2.681031e-001	-2.000000e+000
1.769548724214337e-005	9.580359e-004	-3.210976e-001	-2.000000e+000
1.769746346135715e-005	9.113021e-004	-4.067694e-001	-2.000000e+000
